Interface                      Status         Protocol           Description
Et1                            admin down     down               
Et2                            admin down     down               
Et3                            up             up                 "switch2 **** Ethernet2"
Et4                            up             up                 "switch3 **** Ethernet2"
Et5                            admin down     down               
Et6                            admin down     down               
Et7                            admin down     down               
Et8                            up             up                 "testing ansible module eos_config"
Et9                            admin down     notpresent         
Et10                           admin down     notpresent         
Et11                           admin down     notpresent         
Et12                           admin down     notpresent         
Et13                           admin down     notpresent         
Et14                           admin down     notpresent         
Et15                           admin down     down               
Et16                           admin down     notpresent         
Et17                           admin down     notpresent         
Et18                           admin down     notpresent         
Et19                           admin down     notpresent         
Et20                           admin down     notpresent         
Et21                           admin down     notpresent         
Et22                           admin down     notpresent         
Et23                           admin down     notpresent         
Et24                           admin down     down               
Et25                           admin down     notpresent         
Et26                           admin down     notpresent         
Et27                           admin down     notpresent         
Et28                           admin down     notpresent         
Et29                           admin down     notpresent         
Et30                           admin down     notpresent         
Et31                           admin down     notpresent         
Et32                           admin down     notpresent         
Et33                           admin down     notpresent         
Et34                           admin down     notpresent         
Et35                           admin down     notpresent         
Et36                           admin down     notpresent         
Et37                           admin down     notpresent         
Et38                           admin down     notpresent         
Et39                           admin down     notpresent         
Et40                           admin down     notpresent         
Et41                           admin down     notpresent         
Et42                           admin down     notpresent         
Et43                           admin down     notpresent         
Et44                           admin down     notpresent         
Et45                           admin down     notpresent         
Et46                           admin down     notpresent         
Et47                           admin down     down               
Et48                           admin down     down               
Et49/1                         admin down     notpresent         
Et49/2                         admin down     notpresent         
Et49/3                         admin down     notpresent         
Et49/4                         admin down     notpresent         
Et50/1                         admin down     notpresent         
Et50/2                         admin down     notpresent         
Et50/3                         admin down     notpresent         
Et50/4                         admin down     notpresent         
Et51/1                         admin down     notpresent         
Et51/2                         admin down     notpresent         
Et51/3                         admin down     notpresent         
Et51/4                         admin down     notpresent         
Et52/1                         admin down     notpresent         
Et52/2                         admin down     notpresent         
Et52/3                         admin down     notpresent         
Et52/4                         admin down     notpresent         
Lo0                            up             up                 
Ma1                            up             up
